"","age","race_gender","survival"
"285",71,"white_male",0.63865
"286",71,"white_female",0.7842
"287",71,"black_male",0.45058
"288",71,"black_female",0.64769
"289",72,"white_male",0.61441
"290",72,"white_female",0.76522
"291",72,"black_male",0.42765
"292",72,"black_female",0.62723
"293",73,"white_male",0.58897
"294",73,"white_female",0.74682
"295",73,"black_male",0.40442
"296",73,"black_female",0.60591
"297",74,"white_male",0.56238
"298",74,"white_female",0.72716
"299",74,"black_male",0.381
"300",74,"black_female",0.58375
"301",75,"white_male",0.5347
"302",75,"white_female",0.70619
"303",75,"black_male",0.35749
"304",75,"black_female",0.56074
"305",76,"white_male",0.50601
"306",76,"white_female",0.68387
"307",76,"black_male",0.33397
"308",76,"black_female",0.53689
"309",77,"white_male",0.47641
"310",77,"white_female",0.66014
"311",77,"black_male",0.3105
"312",77,"black_female",0.51219
"313",78,"white_male",0.44604
"314",78,"white_female",0.63494
"315",78,"black_male",0.28713
"316",78,"black_female",0.48663
"317",79,"white_male",0.41503
"318",79,"white_female",0.60822
"319",79,"black_male",0.26391
"320",79,"black_female",0.4602
"321",80,"white_male",0.38355
"322",80,"white_female",0.57991
"323",80,"black_male",0.24091
"324",80,"black_female",0.43291
"325",81,"white_male",0.35178
"326",81,"white_female",0.54997
"327",81,"black_male",0.21819
"328",81,"black_female",0.40475
"329",82,"white_male",0.31991
"330",82,"white_female",0.51835
"331",82,"black_male",0.19583
"332",82,"black_female",0.37573
"333",83,"white_male",0.28816
"334",83,"white_female",0.48502
"335",83,"black_male",0.17392
"336",83,"black_female",0.34588
"337",84,"white_male",0.25677
"338",84,"white_female",0.44993
"339",84,"black_male",0.15257
"340",84,"black_female",0.31522
"341",85,"white_male",0.22599
"342",85,"white_female",0.41306
"343",85,"black_male",0.13191
"344",85,"black_female",0.28378
